uid,vbm_vac,cbm_vac
S3Pt4Se5-5fc6cc7a5edb,-6.1521322097082205,-4.323019479612536
SeBr2S3Cl6Cu6-2e139be2d093,-7.656070394231134,-6.908602648845958
BrCoSe-a225895fdece,-6.391847238199864,-4.2386681791583065
ClIY-b9c6f7113846,-3.8477799737981595,-3.074573120464476
PtSeTe-fd9d812af0a7,-5.230360177284849,-4.13859220473684
AgGaI2-6873c4fb3fe1,-5.82518062362616,-3.474275479639389
AlGaSe2-206ba2b10795,-6.268348906687507,-3.503349161969814
Br2Pd2Cl4-3e7201c5026b,-7.0834866768350055,-5.967152189407603
Pd2Se2Cl4-cee0f85d7ac2,-6.927938365295135,-5.482539658054842
GeHfCl2S2-cbc19415e727,-6.205172812508923,-4.61085137948229
AuInF4-301f3625a64d,-6.978008243223437,-4.871747726630139
MnScBr6-055aa302f46e,-7.505089525874945,-5.6786677858127685
AuInSI2-434ef365aa90,-6.14063692797947,-4.492991179447272
AgGeTaCl2S4-3163199558eb,-7.008513801291953,-4.737419720774816
ClISSeGa2-5d39d23a1273,-6.325528389004706,-4.548582300619179
Ag2Br2Te3P4-669d0a2f0781,-6.347848643567611,-4.194926282545597
Ag2Cl2Te3P4-aa4dfba07ed5,-6.37892536640789,-4.175443956939999
Ag2I2S3As4-a28641578a30,-6.192890829273091,-3.6062596765627366
Cu2I2Se3Sb4-280fb4cb8502,-6.012351964169869,-3.6998210551168533
P8S12-7ed339b2861e,-6.165623893727652,-3.521889168454951
Sb4S6-9f482edd57c8,-6.1956310605350895,-3.5604721221484734
Ga2S5-8e9b9dd2745c,-6.278251996158247,-3.5348148656077254
Br2Pt2-046bb8e1f5ad,-5.843828864096264,-4.18122286110038
Ag4Cl8-7633f3ab22dd,-7.89722992226375,-6.926472461671263
TiF2-32023209e1ed,-5.041891563023788,-2.94569630989853
CCl2Y2-b1df83523998,-6.225435453567374,-4.462117746405624
Nb2F4S4-af2641393eed,-5.873719056482838,-3.3787743511704798
O4Bi8S8-e405582de995,-5.958451886383935,-3.7463832672623396
CdBr2S2Sn2-b019e1dc0a75,-5.86149187868917,-3.106009275276917
In2Pt4Te6-ccb20f424df0,-4.973661623611709,-3.9932246029247676
MnBi2Se4-68c6b97062ee,-5.780441020348018,-4.927850777093113
Br2Ta4Se12-e7cb5939f2d3,-5.113509087018759,-4.044422151617013
Te2Au4O12-28d83fd56dee,-8.792222995770864,-6.325150731160325
W2Cl6-33e727fa61ed,-5.652315018833821,-3.685011877832737
F2Re6Te8-9c14050b19df,-5.421308110388224,-4.416647670220808
ONb3Cl7-b0ea7b06159c,-6.022505575235973,-4.428456341698716
SeNb3I7-50ae3c19a451,-5.271670800733627,-4.036967121609095
WMo3O8-e1c457f3347e,-6.923841005343518,-5.193170148322686
Ag4I4Se4-b171566489d4,-6.758072623943789,-5.727329008618794
As4Ge4Te4-2cdaa30fafb0,-5.485480995649276,-3.6145663783330164
As4Ni4S4-1abc6049acf8,-6.669596855627164,-5.162299303934793
As4Se4Sn4-acd25d59f2a5,-6.20599367590852,-3.9620993713709343
Cl4Cu4Te4-295d4ecba432,-6.963666419445584,-5.624853626670694
Cl4In4Te4-bd07a75bffff,-6.920052218224003,-4.004506512036998
Cu4F4O4-3159950a25d5,-10.391789147946872,-8.133219393857651
F2In2S2-0970ccbd0b95,-7.036766808498909,-5.163361858778761
I2In2Se2-8df6130b22de,-6.516755322249328,-4.658794767900037
P4Se4Si4-a98aaeb81717,-6.110288374513669,-3.281036055726969
